measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,102,United States of America,3,Both,22,All ages,558,Mental disorders,1,Number,2016,43.57734138301359,77.92593835354037,21.035551420954313
1,Deaths,1,Global,3,Both,22,All ages,542,Neurological disorders,1,Number,2015,2245006.7016702327,4620572.361104983,1021177.77111277
1,Deaths,1,Global,3,Both,22,All ages,558,Mental disorders,1,Number,2015,241.4104936620409,376.2864974206354,116.72059892568713
1,Deaths,6,China,3,Both,22,All ages,542,Neurological disorders,1,Number,2013,423769.91797955346,936473.1003967007,173112.87569851062
1,Deaths,102,United States of America,3,Both,22,All ages,542,Neurological disorders,1,Number,2019,261147.87960204924,525540.0873384792,122525.28376761301
1,Deaths,102,United States of America,3,Both,22,All ages,558,Mental disorders,1,Number,2019,43.966755062304635,77.04510726934642,20.73187194673139
1,Deaths,102,United States of America,3,Both,22,All ages,542,Neurological disorders,1,Number,2015,235801.43090327666,483975.67406185356,105663.35606948941
1,Deaths,102,United States of America,3,Both,22,All ages,558,Mental disorders,1,Number,2015,41.90805966107257,76.4337450007441,20.51769205085702
1,Deaths,163,India,3,Both,22,All ages,542,Neurological disorders,1,Number,2017,175420.79599476734,348793.9104786622,87622.3083988079
1,Deaths,163,India,3,Both,22,All ages,558,Mental disorders,1,Number,2017,3.4430602099699974,19.63289147855836,0.580079092873125
1,Deaths,102,United States of America,3,Both,22,All ages,542,Neurological disorders,1,Number,2018,253494.064032213,513898.1073995172,116106.9953549744
1,Deaths,102,United States of America,3,Both,22,All ages,558,Mental disorders,1,Number,2018,43.448754343793105,77.26216700273886,20.5399101044671
1,Deaths,6,China,3,Both,22,All ages,542,Neurological disorders,1,Number,2015,472805.7971919281,1018606.7366539928,186637.0316227464
1,Deaths,6,China,3,Both,22,All ages,558,Mental disorders,1,Number,2015,28.040360135946855,42.38185849825746,15.909898187170832
1,Deaths,1,Global,3,Both,22,All ages,542,Neurological disorders,1,Number,2018,2516431.0257524247,5205283.429074415,1145302.6698857043
1,Deaths,1,Global,3,Both,22,All ages,558,Mental disorders,1,Number,2018,227.77582787129023,373.86995486476155,122.06176880817563
1,Deaths,6,China,3,Both,22,All ages,542,Neurological disorders,1,Number,2019,572935.7828228838,1262815.3738918225,226819.66026533407
1,Deaths,6,China,3,Both,22,All ages,558,Mental disorders,1,Number,2019,28.708643073832175,45.25689432828943,16.22673187999587
1,Deaths,6,China,3,Both,22,All ages,542,Neurological disorders,1,Number,2018,557845.5252784368,1225908.5705119937,221856.45588165062
1,Deaths,95,United Kingdom,3,Both,22,All ages,542,Neurological disorders,1,Number,2017,55727.5407606287,111970.626181012,27295.164612098888
1,Deaths,95,United Kingdom,3,Both,22,All ages,558,Mental disorders,1,Number,2017,10.879321662576015,20.45587064228099,4.931079105076898
1,Deaths,95,United Kingdom,3,Both,22,All ages,542,Neurological disorders,1,Number,2012,49614.040990053516,100632.87277531784,23685.294092415003
1,Deaths,95,United Kingdom,3,Both,22,All ages,558,Mental disorders,1,Number,2012,11.455282708931897,20.073301423048072,4.829683281628318
1,Deaths,95,United Kingdom,3,Both,22,All ages,542,Neurological disorders,1,Number,2016,54118.08061494924,108662.13177189579,26314.39710273505
1,Deaths,95,United Kingdom,3,Both,22,All ages,558,Mental disorders,1,Number,2016,10.26392640794072,20.476717080597453,4.864634874295549
1,Deaths,6,China,3,Both,22,All ages,558,Mental disorders,1,Number,2018,28.661267701076646,42.37072693140851,16.696077239383833
1,Deaths,95,United Kingdom,3,Both,22,All ages,542,Neurological disorders,1,Number,2015,54525.75387805253,110221.76536137932,26199.86451514424
1,Deaths,95,United Kingdom,3,Both,22,All ages,558,Mental disorders,1,Number,2015,10.35550013120221,20.215885778242892,4.834025294098841
1,Deaths,1,Global,3,Both,22,All ages,542,Neurological disorders,1,Number,2017,2439319.814009248,4992041.692435909,1115384.454788758
1,Deaths,1,Global,3,Both,22,All ages,558,Mental disorders,1,Number,2017,234.15387756477017,376.8737144044462,120.62004008114658
1,Deaths,1,Global,3,Both,22,All ages,542,Neurological disorders,1,Number,2016,2332234.5120666004,4775199.956729101,1064373.6542376117
1,Deaths,1,Global,3,Both,22,All ages,558,Mental disorders,1,Number,2016,239.03089577696713,379.8063621838393,118.62814046118885
1,Deaths,6,China,3,Both,22,All ages,542,Neurological disorders,1,Number,2017,536419.9978248498,1149331.0622835294,212665.50314490683
1,Deaths,6,China,3,Both,22,All ages,542,Neurological disorders,1,Number,2016,507667.9804052087,1073494.426904131,200265.22971814804
1,Deaths,6,China,3,Both,22,All ages,558,Mental disorders,1,Number,2016,28.038069060762087,42.50999819934448,16.04721640172129
1,Deaths,6,China,3,Both,22,All ages,558,Mental disorders,1,Number,2017,28.453929336766443,43.95323408159484,16.749534034346464
1,Deaths,1,Global,3,Both,22,All ages,542,Neurological disorders,1,Number,2019,2598627.46018991,5387587.569177838,1178050.8961587427
1,Deaths,1,Global,3,Both,22,All ages,558,Mental disorders,1,Number,2019,222.8488247317245,369.68112573838704,116.88411024613572
1,Deaths,95,United Kingdom,3,Both,22,All ages,542,Neurological disorders,1,Number,2019,56480.76523625033,112568.44386354343,28011.848631034543
1,Deaths,95,United Kingdom,3,Both,22,All ages,558,Mental disorders,1,Number,2019,11.533843677301524,20.35768557025593,4.9886847083711165
1,Deaths,95,United Kingdom,3,Both,22,All ages,542,Neurological disorders,1,Number,2018,56569.597509615305,113453.26463367695,27893.88399120818
1,Deaths,95,United Kingdom,3,Both,22,All ages,558,Mental disorders,1,Number,2018,11.218269391942925,20.46130899483674,5.01762861226496
